timestamp,equity,cash,portfolio_value
2025-07-31 09:47:02,99995.87,99995.87,99995.87
2025-07-31 15:38:12,99995.87,99995.87,99995.87
2025-08-01 11:33:46,99995.85,99995.85,99995.85
2025-08-02 10:09:45,99995.85,99995.85,99995.85
2025-08-03 09:14:13,99995.85,99995.85,99995.85
2025-08-05 16:47:05,99995.85,99995.85,99995.85
2025-08-06 11:12:34,99995.85,99995.85,99995.85
2025-08-08 12:46:25,100558.98,87971.11,100558.98
2025-08-09 10:38:39,100538.69,87971.09,100538.69
2025-08-10 17:25:17,100538.69,87971.09,100538.69
2025-08-11 12:29:03,100320.41,100137.2,100320.41
2025-08-14 14:43:34,97824.88,-28862.5,97824.88
